( SECYT_mm_1_341 "La felpa está apelmazada." )
( SECYT_mm_1_409 "El buscador de oro caminó hasta cerca de Brasilia." )
( SECYT_mm_1_404 "Hubo bullicio en la fiesta de la disco Venus." )
( SECYT_mm_1_137 "Nunca intenté influir en él." )
( SECYT_mm_1_435 "Sus acres de tierra no eran mas que un campichuelo estéril sin humus." )
( SECYT_mm_1_74 "Huelga para cambiar y luego aguantar." )
( SECYT_mm_1_589 "Ojalá descifre el criptograma." )
( SECYT_mm_1_567 "Florencia habla el dialecto luxemburgués." )
( SECYT_mm_1_300 "Le recetaron baños de aguascalientes y una dieta proteica." )
( SECYT_mm_1_73 "Horarios flexibles para estudiantes." )
( SECYT_mm_1_657 "El marqués lanzó una perogrullada grotesca." )
( SECYT_mm_1_265 "Comenzó a angustiarme su claustrofobia." )
( SECYT_mm_1_377 "El pirata le endilga una paliza con su garfio." )
( SECYT_mm_1_671 "Limpian el montacargas sucio de Guano." )
( SECYT_mm_1_386 "Su habilidad ambidextra puede apremiar al arco rival." )
( SECYT_mm_1_448 "El cronista relata la hidalguía del patriótico ejército de Vietnam." )
( SECYT_mm_1_258 "Fingirse neutral y quisquilloso ante un problema tan ríspido." )
( SECYT_mm_1_606 "Leila Alonso hizo un estudio longitudinal." )
( SECYT_mm_1_363 "Se encontraba en la diáspora de aquel enjambre." )
( SECYT_mm_1_714 "El plancton ejercía una atracción sobre los peces." )
( SECYT_mm_1_665 "El pingüino olfateaba el nectario." )
( SECYT_mm_1_490 "Alfonsina escribió fantásticos alejandrinos." )
( SECYT_mm_1_621 "Siguió su rastro con un buscahuellas." )
( SECYT_mm_1_84 "La farmacopea nueva apunta a la prevención." )
( SECYT_mm_1_111 "Los vinos uruguayos han mejorado en el último lustro." )
( SECYT_mm_1_674 "Frecuentar la promiscuidad de ese bayú es el colmo." )
( SECYT_mm_1_408 "Están coartados los medios tendientes a dar soluciones." )
( SECYT_mm_1_375 "Tuvo que expatriarse por su antieslamismo." )
( SECYT_mm_1_391 "Se ha constituido la comisión de geropsiquiatría para el trienio." )
( SECYT_mm_1_610 "Un licor de menta Minerva para el deleite del buen paladar." )
( SECYT_mm_1_663 "El dermatólogo es inmodesto y servil." )
( SECYT_mm_1_257 "Tuvieron que fustigar su machismo arraigado." )
( SECYT_mm_1_145 "Que tengas mucha suerte." )
( SECYT_mm_1_722 "El señor Jalmero sostuvo una prática frutuosa." )
( SECYT_mm_1_267 "No se acerque al claustro solemne." )
( SECYT_mm_1_510 "un ciclomotor en Pernambuco." )
( SECYT_mm_1_304 "Quiso prestigiarse en el pleito." )
( SECYT_mm_1_605 "Clota tubo quintillizos." )
( SECYT_mm_1_439 "El hidalgo pidió clemencia al guardián." )
( SECYT_mm_1_139 "Para desayunar pidió café con leche y medialunas." )
( SECYT_mm_1_526 "conocido contralto entonó la rapsodia." )
( SECYT_mm_1_316 "Conoció la malignidad de la dueñesca." )
( SECYT_mm_1_529 "El coadministrador se encargará de la propiedad." )
( SECYT_mm_1_382 "El hombre ojienjuto desfrunce el ceño." )
( SECYT_mm_1_16 "Cuando sopla viento norte las personas cambian su comportamiento." )
( SECYT_mm_1_88 "La hiperinflación fue el tema de la década." )
( SECYT_mm_1_615 "Reparó el microcircuito con simpleza." )
( SECYT_mm_1_173 "Una vez desmontado el terreno es poco fértil." )
( SECYT_mm_1_447 "El infractor se ofusca cuando el agente lo embauca." )
( SECYT_mm_1_476 "Los fotógrafos capturan en una imagen la bondad de la selva." )
( SECYT_mm_1_712 "Al disparar el rifle se produjo una refulgencia." )
( SECYT_mm_1_680 "al enchufar el aparato se cayó la morsa del andamiaje." )
( SECYT_mm_1_34 "El girasol también padeció la sequía." )
( SECYT_mm_1_201 "No lograron disminuir la cifra de mortalidad infantil." )
( SECYT_mm_1_575 "Más allá de la glorieta se puede visualizar el desván adintelado con tragaluz." )
( SECYT_mm_1_228 "Averigüé cuál era la pista del taimado." )
( SECYT_mm_1_149 "Salió para cerrar la puerta vidriera." )
( SECYT_mm_1_190 "La concurrencia disfruta de una coreografía brillante." )
( SECYT_mm_1_604 "El tatú carreta y el caimán son ejemplares en peligro de extinción." )
( SECYT_mm_1_708 "El nefrólogo difunto tenía un aspecto desarreglado." )
( SECYT_mm_1_362 "El ciempiés se desplaza por el tablón." )
( SECYT_mm_1_424 "Plantará ñandubay y ceibos." )
( SECYT_mm_1_57 "En este segmento las cifras son categóricas." )
( SECYT_mm_1_76 "Interrumpió la cena." )
( SECYT_mm_1_706 "El pulmón presenta una forma arborescente." )
( SECYT_mm_1_720 "La ñapindá es una especie de acacia espinosa." )
( SECYT_mm_1_343 "El dintel apoya en los capialgos." )
( SECYT_mm_1_597 "Jacinto llevaba un crespón en el sombrero." )
( SECYT_mm_1_331 "El murciélago es un quiróptero." )
( SECYT_mm_1_457 "El taita de la pampa se lleva el bombo arriba del saino." )
( SECYT_mm_1_114 "Los artistas señalamos a aquél como el mejor." )
( SECYT_mm_1_231 "Utilizaban una substancia púrpura como afrodisíaco." )
( SECYT_mm_1_23 "El billete de cien aparecerá antes de fin de año." )
( SECYT_mm_1_592 "Franco quiere disfrutar de la música flamenca." )
( SECYT_mm_1_261 "Admira el ritmo de la poesía de Bécquer." )
( SECYT_mm_1_693 "Despiojarla la pone nerviosa." )
( SECYT_mm_1_205 "Actualmente el varón no siempre establece el primer contacto." )
( SECYT_mm_1_200 "El indio se inclino para romper la red de pesca." )
( SECYT_mm_1_356 "Xenón fue prudente." )
( SECYT_mm_1_670 "Han comprado un osito panda anormal." )
( SECYT_mm_1_366 "Los poiquilotermos son aptos para cambiar su temperatura." )
( SECYT_mm_1_198 "Con la virtud no basta." )
( SECYT_mm_1_385 "Cumplen con la ley de enfiteusis." )
( SECYT_mm_1_210 "El riachuelo surge del río troncal." )
( SECYT_mm_1_243 "Compró chambres adornados con briscados." )
( SECYT_mm_1_444 "La aislación acústica no detuvo el zumbido del timbal." )
( SECYT_mm_1_182 "La camioneta cruzó la sinuosa vía del ferrocarril." )
( SECYT_mm_1_51 "El viernes golpeó a la puerta muchas veces." )
( SECYT_mm_1_285 "Creen imposible indemnizar la monstruosidad del holocausto." )
( SECYT_mm_1_429 "Intentó afrailar a los jóvenes." )
( SECYT_mm_1_724 "El chircal había formado una pared ñudosa." )
( SECYT_mm_1_141 "Pintó una florcita de color añil." )
